source,name,slug,category,min_price_per_unit,max_price_per_unit,unit,trend_30d_percent,vendor_count,in_stock_count,size_min,size_max,display_sizes,synonyms,detail_url
peptidecritic,GLP3-R,glp3-r,Weight Loss,2.77,13.0,mg,-1.2,64,56,2.5,200.0,6–50mg +42 other sizes,retatrutide; ly3437943; reta; triple-agonist (gip/glp-1/gcgr); glp-3; glp3; glp-3r,https://peptidecritic.com/peptides/glp3-r
peptidecritic,GLP2-T,glp2-t,Weight Loss,0.3,21.6,mg,146.8,64,56,1.0,600.0,10–60mg +42 other sizes,tirzepatide; mounjaro; zepbound; tirz; glp-2,https://peptidecritic.com/peptides/glp2-t
peptidecritic,MOTS-c,mots-c,Longevity,1.63,7.0,mg,0.9,79,67,5.0,100.0,10–40mg +9 other sizes,mitochondrial-derived peptide; mt-rnr1 orf peptide,https://peptidecritic.com/peptides/mots-c
peptidecritic,SS-31,ss-31,Energy,1.69,19.8,mg,-0.4,34,26,5.0,60.0,10–50mg +4 other sizes,elamipretide; bendavia; mtp-131; mtp-31,https://peptidecritic.com/peptides/ss-31
peptidecritic,Bacteriostatic Water,bacteriostatic-water,,0.4,1.8,ml,3.2,43,36,2.0,500.0,3–30ml +4 other sizes,bac; bac water; bacteriostatic water; water; solution; reconstitution; reconstitution solution; reconstitution solution water; bacteriostatic water – benzyl; bacteriostatic (bac) water,https://peptidecritic.com/peptides/bacteriostatic-water
peptidecritic,Tesamorelin,tesamorelin,Growth Hormone,4.0,12.0,mg,-4.4,76,62,2.0,100.0,5–16mg +20 other sizes,th9507; egrifta sv; ghrh(1–44) analog,https://peptidecritic.com/peptides/tesamorelin
peptidecritic,GHK-Cu,ghk-cu,Skin Health,0.02,1.2,mg,-13.0,86,74,2.0,1000.0,50–100mg +20 other sizes,copper tripeptide-1; prezatide copper; ghk-cu,https://peptidecritic.com/peptides/ghk-cu
peptidecritic,KLOW,klow,Healing,0.47,1.87,mg,2.4,42,33,10.0,160.0,80mg +6 other sizes,ghk-cu + bpc-157 + tb-500 + kpv blend,https://peptidecritic.com/peptides/klow
peptidecritic,BPC-157,bpc-157,Healing,1.47,11.0,mg,-11.5,82,71,5.0,80.0,5–30mg +12 other sizes,bepecin; pl 14736; body protection compound 157; gastric pentadecapeptide; bpc,https://peptidecritic.com/peptides/bpc-157
peptidecritic,NAD+,nad,Energy,0.06,0.25,mg,-10.9,68,55,1.0,5000.0,"100–1,000mg +7 other sizes",nicotinamide adenine dinucleotide (oxidized),https://peptidecritic.com/peptides/nad
